date,change,stability
2013-12-09,0.07638050414218535,1
2013-12-10,0.05612591308231691,1
2013-12-11,1.2913026161394372,1
2013-12-12,0.13656239352032787,1
2013-12-13,0.13600015351297293,1
2013-12-16,-0.20927799253405235,2
2013-12-17,0.1626274238380946,1
2013-12-18,-1.355492099465855,2
2013-12-19,-0.06361368026900972,2
2013-12-20,-0.5644279072495928,2
2013-12-23,-0.006561830827625258,0
2013-12-24,-0.34644733546693585,2
2013-12-26,-0.1352473138505008,2
2013-12-27,0.19015752718436085,1
2013-12-30,-0.13745992744965302,2
2013-12-31,-0.18507765994020026,2
2014-01-02,0.6248367293201351,1
2014-01-03,-0.013162855000659177,2
2014-01-06,0.7081683923599559,1
2014-01-07,-0.3913603675395853,2
2014-01-08,-0.10975292450151276,2
2014-01-09,0.10125929565324504,1
2014-01-10,-0.2552879057373137,2
2014-01-13,1.2493239634332216,1
2014-01-14,-0.8465549412881058,2
2014-01-15,-0.209480473244066,2
2014-01-16,-0.12290323320504401,2
2014-01-17,0.3845057294232981,1
2014-01-21,0.2090928778550801,1
2014-01-22,-0.0963632320723806,2
2014-01-23,0.4504611918665782,1
2014-01-24,1.595439109742664,1
2014-01-27,0.6062411129016753,1
2014-01-28,-0.7404504279230749,2
2014-01-29,0.13230505461036274,1
2014-01-30,-0.48410654025783,2
2014-01-31,-0.7327255564766303,2
2014-02-03,2.4964950285285203,1
2014-02-04,-0.3010598272143632,2
2014-02-05,-0.2440174613482416,2
2014-02-06,-1.126174941546341,2
2014-02-07,-0.7961765571637422,2
2014-02-10,-0.2017443332173891,2
2014-02-11,-0.9562923933658241,2
2014-02-12,0.0901316924006663,1
2014-02-13,-1.290689049890407,2
2014-02-14,-0.5999885823698604,2
2014-02-18,-0.1602860480045651,2
2014-02-19,0.2606606312619694,1
2014-02-20,-0.6092581622217419,2
2014-02-21,0.13431903348398908,1
2014-02-24,-0.452769136319478,2
2014-02-25,0.1253476760306599,1
2014-02-26,0.02339614637666468,1
2014-02-27,-0.4958539604198346,2
2014-02-28,-0.25179165075105703,2
2014-03-03,-0.25363536347115395,2
2014-03-04,-0.5165729915267535,2
2014-03-05,0.08804983712324534,1
2014-03-06,0.0643553970680288,1
2014-03-07,0.280847815270533,1
2014-03-10,0.06429322814372973,1
2014-03-11,0.6441018325091087,1
2014-03-12,-0.6171616526066237,2
2014-03-13,1.4060787079504695,1
2014-03-14,-0.15718103758277432,2
2014-03-17,-0.29968459693966665,2
2014-03-18,-0.602863860537818,2
2014-03-19,0.6364538615254377,1
2014-03-20,-0.6938602968840759,2
2014-03-21,0.9623135693706222,1
2014-03-24,0.9117882000961446,1
2014-03-25,0.2178699467784116,1
2014-03-26,1.2639861238368326,1
2014-03-27,0.0960561894877096,1
2014-03-28,-0.3370766571989126,2
2014-03-31,-0.38700930763835,2
2014-04-01,-0.5019401391928227,2
2014-04-02,-0.2988732301025887,2
2014-04-03,0.32125858245121874,1
2014-04-04,1.810812242961471,1
2014-04-07,1.1543115968755082,1
2014-04-08,-0.5341807498076574,2
2014-04-09,-0.7553283324162233,2
2014-04-10,2.1436960954282416,1
2014-04-11,0.4812581554750449,1
2014-04-14,0.02905369950206457,1
2014-04-15,-0.4445644055705416,2
2014-04-16,-0.4256261573200269,2
2014-04-17,-0.23800598603199025,2
2014-04-21,-0.18381696140581774,2
2014-04-22,-0.3770602779027053,2
2014-04-23,0.1211392208367916,1
2014-04-24,0.4004458981939653,1
2014-04-25,0.7171965245263721,1
