,year,symbol,change in 12 months,PE,PEG,After Tax ROE,Gross Margin,Operating Margin,Profit Margin,Cash Ratio,changeLabel
390,2015,FRT,-13.61529830214245,46.457235361842095,1.8133307996073846,13.0,69.0,40.0,28.0,74.4574898785425,1
391,2013,FSLR,-29.325823308870536,11.653845888594166,-0.026507723230203947,8.0,26.0,11.0,11.0,111.0,0
392,2014,FSLR,10.624171342786086,12.443324811083123,2.3455667268891656,8.0,24.0,12.0,12.0,199.0,3
393,2015,FSLR,-8.933664045925548,10.261070387453875,0.28094103060821995,10.0,26.0,14.0,15.0,190.0,1
394,2013,FTR,1.7250553222691087,41.95454545454545,-1.9578787878787876,1.0,100.0,21.0,1.0,68.0,2
395,2014,FTR,-12.25960265761495,43.65384615384616,2.400961538461538,4.0,100.0,17.0,3.0,45.0,1
396,2014,GD,-31.96328779894341,15.479497023809524,1.238359761904762,21.0,19.0,13.0,8.0,32.0,0
397,2015,GD,2.2590293778275465,15.003792036836403,0.6792135796316359,28.0,19.0,13.0,9.0,22.0,2
398,2013,GILD,6.874309357415077,27.91666641791045,1.5912499858208968,27.0,74.0,40.0,27.0,33.0,3
399,2014,GILD,40.38992875335396,10.767924465408804,0.03643691612032272,78.0,85.0,61.0,49.0,176.0,3
400,2015,GILD,8.699885998316661,7.983023443815684,0.1435860551546034,98.0,88.0,68.0,55.0,148.0,3
401,2014,GIS,-22.012098838249063,17.89482706896552,12.794801354310373,28.0,36.0,17.0,10.0,16.0,0
402,2015,GIS,-15.82839015089002,27.51732623762376,-0.9068209782853286,24.0,34.0,12.0,7.0,7.0,1
403,2016,GIS,-26.045734808617162,21.061837279151945,0.5252458185665054,34.0,35.0,16.0,10.0,15.0,0
404,2014,GLW,-43.30503277833784,11.274724999999998,0.3238484840425532,11.0,42.0,20.0,25.0,261.0,0
405,2015,GLW,17.22787819534348,20.284314215686273,-0.4614681484068627,7.0,40.0,15.0,15.0,163.0,3
406,2013,GPC,-7.20730916356093,16.70090225733634,2.6785677851189416,20.0,30.0,7.0,5.0,6.0,2
407,2014,GPC,-14.859165918157263,20.563577693965517,4.337935675441301,22.0,30.0,7.0,5.0,4.0,1
408,2015,GPC,8.43963373239304,20.82903225806451,20.0,22.0,30.0,7.0,5.0,5.0,3
409,2014,GPN,-4.161246973666859,10.752940955882355,0.48214799769924127,25.0,63.0,16.0,10.0,48.0,2
410,2015,GPN,-26.091904057988433,12.745783734939758,0.577808862650602,37.0,63.0,16.0,10.0,22.0,0
411,2016,GPN,-10.718318239686447,32.5390243902439,-0.6430331010452961,10.0,60.0,15.0,9.0,43.0,1
412,2014,GPS,-3.660712471038505,14.584532374100721,0.7970616530031793,42.0,39.0,13.0,8.0,62.0,2
413,2015,GPS,25.47328016336552,11.646551551724139,2.6981177761494286,42.0,38.0,13.0,8.0,68.0,3
414,2016,GPS,-36.16718503675931,10.390625223214284,-0.4565577749594157,36.0,36.0,10.0,6.0,54.0,0
415,2013,GRMN,2.247204405322975,14.071885143769968,1.1177097342765852,17.0,53.0,22.0,23.0,147.0,2
416,2014,GRMN,6.659075379460253,26.235449206349205,-0.6622335162570403,11.0,56.0,24.0,13.0,132.0,3
417,2015,GRMN,-14.275999866651222,18.824267782426777,0.711557322175732,14.0,55.0,19.0,16.0,121.0,1
418,2014,GT,2.5226620481634416,2.8641839539978093,0.010446351042981545,68.0,23.0,8.0,14.0,46.0,2
419,2015,GT,-17.6649857503771,27.100876754385965,-0.30967585077289594,8.0,26.0,9.0,2.0,30.0,1
420,2013,GWW,-18.90462985626811,20.395667816091954,1.2377620905890805,25.0,44.0,14.0,8.0,36.0,0
421,2014,GWW,-5.394166549403237,22.12855854184642,8.938357039581534,25.0,43.0,14.0,8.0,18.0,2
422,2015,GWW,-3.1099352318730276,19.66980282292558,20.0,34.0,42.0,13.0,8.0,16.0,2
423,2014,HAL,40.05704102963843,10.859564285714287,0.14623390543831172,22.0,17.0,16.0,11.0,39.0,3
424,2015,HAL,-14.415774183399822,-46.27848037974684,0.38847586172429766,4.0,11.0,1.0,3.0,189.0,1
425,2014,HAS,-15.584146745712061,16.976851543209875,0.3591257057217474,28.0,60.0,15.0,10.0,83.0,1
426,2015,HAS,-9.61239897213522,17.011080886426594,1.4896189749195201,27.0,62.0,16.0,10.0,92.0,1
427,2013,HBAN,-18.26104209742561,11.075342465753426,3.9317465753424714,11.0,0.0,0.0,22.0,74.4574898785425,0
428,2015,HBAN,-9.344559464443625,13.22560975609756,1.072743902439024,11.0,0.0,0.0,22.0,74.4574898785425,1
429,2013,HCN,12.503051202841684,50.0,-2.8743863926056332,1.0,58.0,19.0,5.0,74.4574898785425,3
430,2014,HCN,-37.06810608239731,44.63698767123289,0.10591827583004416,4.0,58.0,26.0,15.0,74.4574898785425,0
431,2015,HCN,2.529597279717875,30.70851106382979,0.5037575972268706,6.0,57.0,28.0,22.0,74.4574898785425,2
432,2015,HCP,8.785794852862026,-31.22506887053719,0.19491424978192468,6.0,100.0,26.0,31.0,74.4574898785425,3
433,2014,HD,-11.542829130440408,24.71693134920635,0.9985640265079366,43.0,34.0,12.0,7.0,18.0,1
434,2015,HD,-6.528606506696118,25.130802320675105,0.9895253413765815,68.0,34.0,13.0,8.0,15.0,2
435,2016,HD,-5.651362675149544,24.20309653916211,1.529635701275046,111.0,34.0,13.0,8.0,18.0,2
436,2013,HES,-17.007016987795335,4.5646236842105266,0.030228626391560303,20.0,67.0,24.0,42.0,28.0,1
437,2014,HES,-4.580941370267331,10.277850327653997,-0.2090386631681389,10.0,65.0,19.0,22.0,50.0,2
438,2015,HES,3.9200715272354207,-5.608998330241188,0.023246418935220132,16.0,50.0,58.0,46.0,103.0,2
439,2013,HIG,-25.904398420752923,50.0,-0.2624815636363636,1.0,47.0,7.0,1.0,74.4574898785425,0
440,2014,HIG,-10.025540813425604,21.676794751381216,0.055697319847298955,4.0,42.0,9.0,4.0,74.4574898785425,1
441,2015,HIG,-17.714126467412637,10.553086419753086,0.08527270723104056,10.0,41.0,11.0,9.0,74.4574898785425,1
442,2013,HOG,-26.655790488293057,18.046969242424243,0.9023484621212123,24.0,39.0,20.0,12.0,52.0,0
443,2014,HOG,16.873794232522165,17.38333384615385,0.9560833615384614,29.0,39.0,21.0,14.0,44.0,3
444,2015,HOG,10.077738909454045,15.017520754716982,-3.0825437338629635,41.0,40.0,19.0,13.0,31.0,3
445,2014,HOLX,8.13695181730768,50.0,-4.041877828054299,1.0,49.0,11.0,1.0,120.0,3
446,2015,HOLX,-20.011284929375773,50.0,0.10270368292682928,6.0,53.0,17.0,5.0,52.0,0
447,2016,HOLX,-0.3573493226390568,33.30084745762712,0.22044222964908097,15.0,55.0,19.0,12.0,61.0,2
448,2014,HON,5.945303539994696,17.771296296296295,2.162896793134599,24.0,28.0,14.0,11.0,62.0,3
449,2015,HON,1.2671575103216828,16.716039034369885,1.2713607152901034,26.0,31.0,18.0,12.0,41.0,2
450,2014,HP,17.761344886133976,11.4999998470948,-2.2638571127566665,14.0,46.0,28.0,19.0,71.0,3
451,2015,HP,-23.688647451038765,15.335896794871795,-0.37991198878205124,9.0,46.0,21.0,13.0,223.0,0
452,2016,HP,-45.818691386320275,-50.0,1.0696696696696695,1.0,45.0,2.0,3.0,288.0,0
453,2014,HPQ,-24.703370042731514,5.858480926428571,7.733194822885721,19.0,20.0,8.0,9.0,35.0,0
454,2014,HRB,-13.44752107612573,18.13583757225434,2.0597129814203146,31.0,61.0,27.0,16.0,118.0,1
455,2015,HRB,3.61535094349361,19.485465988372095,-20.0,26.0,60.0,26.0,15.0,135.0,2
456,2014,HRL,-15.635476552909822,10.773026315789474,0.7392524954627957,17.0,17.0,10.0,6.0,35.0,1
457,2014,HRS,8.8246976152072,14.243,0.03605370927318296,29.0,34.0,18.0,11.0,50.0,3
458,2015,HRS,-17.345930654332847,25.326983650793654,-0.6845130716430717,10.0,34.0,14.0,7.0,21.0,1
459,2016,HRS,-21.71628363131539,36.39080459770115,-2.1227969348658995,11.0,31.0,10.0,4.0,25.0,0
460,2013,HSIC,-23.86038169110616,19.57071693227092,1.498172123780742,15.0,28.0,7.0,5.0,12.0,0
461,2014,HSIC,0.2446575270231064,22.762206781193488,2.2405152557174737,17.0,28.0,7.0,4.0,5.0,2
462,2015,HSIC,-12.445160529014466,25.58218088235294,5.65877841117648,17.0,28.0,7.0,5.0,3.0,1
463,2013,HST,-18.602624323426074,50.0,1.1025,4.0,61.0,10.0,6.0,148.0,0
464,2014,HST,-16.369676104362263,50.0,0.5698039215686275,10.0,62.0,13.0,14.0,110.0,1
465,2015,HST,23.545749909548803,50.0,-2.551287878787878,8.0,63.0,12.0,10.0,47.0,3
466,2014,HUM,-52.053969213918165,16.704973118279568,-3.526103785236853,12.0,21.0,5.0,2.0,74.4574898785425,0
467,2015,HUM,-31.059778419435048,18.93149830210773,1.2804577033425604,12.0,18.0,4.0,2.0,74.4574898785425,0
468,2013,IBM,-10.731937047726483,12.63545820053121,3.464022785919204,72.0,49.0,21.0,17.0,28.0,1
469,2014,IBM,-6.178405318277691,14.520468295739347,-0.7076966101418596,101.0,50.0,20.0,13.0,21.0,2
470,2015,IBM,4.075342178673626,11.141691580118694,0.8832188623445087,92.0,50.0,19.0,16.0,24.0,3
471,2013,IDXX,-13.160525308597094,14.289659773371104,1.5964999195076688,36.0,55.0,19.0,14.0,58.0,1
472,2014,IDXX,-11.758426670969305,17.630165151515154,6.223448298484837,155.0,55.0,18.0,12.0,39.0,1
473,2015,IDXX,-17.2803485988625,35.71135301932368,-0.8309757144881087,228.0,56.0,19.0,12.0,40.0,1
474,2013,IFF,-8.74873343878626,17.76273171296296,0.4565462448538412,24.0,43.0,17.0,12.0,72.0,1
475,2014,IFF,-5.225679685270565,18.559921611001965,1.0412839137601104,27.0,44.0,19.0,13.0,92.0,2
476,2015,IFF,-19.890917264542225,21.35645472061657,10.870435452793721,26.0,45.0,19.0,14.0,25.0,0
477,2014,ILMN,12.314345473919342,50.0,0.3533352419028581,24.0,70.0,28.0,19.0,185.0,3
478,2014,INTC,-37.10091901982451,13.056485774058576,0.5628796089260807,21.0,64.0,27.0,21.0,88.0,0
479,2015,INTC,-27.803035323805084,14.83194979253112,17.724180002074878,19.0,63.0,25.0,21.0,162.0,0
480,2014,INTU,-18.489537655202724,26.617924685534593,2.65261387383431,29.0,86.0,31.0,21.0,135.0,0
481,2015,INTU,-22.996806814250643,50.0,-1.2363486153436989,16.0,83.0,18.0,9.0,97.0,0
482,2016,INTU,-36.66208654589963,28.08579142091153,0.1502532051324485,84.0,84.0,26.0,21.0,48.0,0
483,2013,IP,-17.536918959958793,13.950722895349205,0.19090462909425232,17.0,31.0,8.0,6.0,35.0,1
484,2014,IP,-7.938351270266898,39.38433698530769,-0.6705981702903743,11.0,31.0,6.0,2.0,38.0,2
485,2015,IP,21.131408750073266,20.431111777777776,0.27958363485380117,24.0,31.0,9.0,4.0,27.0,3
486,2013,IPG,-33.85642538051619,23.28225806451613,-0.6029507857733665,12.0,100.0,8.0,4.0,20.0,0
487,2014,IPG,-0.4880080483947664,16.85087719298246,0.2009143049932524,23.0,100.0,10.0,6.0,22.0,2
488,2015,IPG,-6.3828225242758085,19.963963513513512,-7.5863061351351755,23.0,100.0,11.0,6.0,20.0,2
489,2013,IRM,-20.928512606637064,50.0,-1.159600202511397,9.0,57.0,16.0,3.0,16.0,0
490,2014,IRM,-15.077598385363954,20.26548836209581,0.08909826779886951,38.0,57.0,18.0,10.0,19.0,1
491,2015,IRM,32.222531975265554,50.0,-0.8780576031319205,24.0,57.0,17.0,4.0,15.0,3
492,2014,ISRG,-20.00262180774936,40.168723215859025,-1.191834560581467,12.0,66.0,26.0,20.0,246.0,0
493,2014,ITW,1.955460570009586,12.31105068212824,0.12966260662409573,43.0,40.0,20.0,20.0,113.0,2
494,2015,ITW,-6.907679034692021,18.212209786821706,-0.6151866255179868,36.0,41.0,21.0,14.0,130.0,2
495,2013,IVZ,-9.314921572747254,15.01428619047619,0.3753571547619046,11.0,100.0,24.0,20.0,89.0,1
496,2014,IVZ,8.37877681511678,16.821585682819386,2.077960584348279,12.0,100.0,25.0,19.0,92.0,3
497,2015,IVZ,17.58159278108384,16.11725707964602,-20.0,12.0,100.0,27.0,19.0,67.0,3
498,2013,JBHT,-13.879636939207426,23.643835958904113,2.229275961839533,34.0,36.0,10.0,6.0,1.0,1
499,2014,JBHT,-3.148176720791697,25.335937656249996,2.6421763555803524,31.0,37.0,10.0,6.0,1.0,2
500,2015,JBHT,13.670949714119994,21.3333337398374,1.3931973054587692,33.0,41.0,12.0,7.0,1.0,3
501,2014,JEC,10.803153648838428,21.69721075697211,-0.9335510417802471,7.0,16.0,4.0,3.0,31.0,3
502,2015,JEC,-23.98510820207791,17.97933884297521,-5.014237832874202,7.0,16.0,4.0,3.0,23.0,0
503,2016,JEC,-22.543961330422704,28.211427714285715,-1.0189799263965886,5.0,16.0,3.0,2.0,37.0,0
504,2013,JNPR,-35.47909875553395,24.267044886363635,0.16800261844405592,6.0,63.0,12.0,9.0,197.0,0
505,2014,JNPR,-5.302240056851275,-31.00000068493151,0.16944099753254488,7.0,62.0,9.0,7.0,130.0,2
506,2015,JNPR,-10.826169799571318,15.450616975308643,-0.04799553358287366,14.0,63.0,19.0,13.0,108.0,1
507,2013,JPM,-18.479630828514438,11.751708542141232,-0.7390833565057497,8.0,100.0,27.0,18.0,74.4574898785425,0
508,2014,JPM,-5.130466998507112,11.386704119850188,0.5261855903804453,9.0,100.0,33.0,24.0,74.4574898785425,2
509,2015,JPM,3.9414850004412028,10.609091074380165,0.7979231878477477,10.0,100.0,34.0,27.0,74.4574898785425,2
510,2014,JWN,-25.68820108524214,18.661803580901857,4.503715264190987,35.0,38.0,11.0,6.0,47.0,0
511,2015,JWN,24.03834362493927,17.133245778364117,20.0,30.0,38.0,10.0,5.0,30.0,3
512,2016,JWN,-33.21030246839419,15.256211180124224,-1.0144042170644,69.0,36.0,8.0,4.0,20.0,0
513,2013,K,-9.160530505524171,11.808233032128513,0.13759158489610612,51.0,41.0,19.0,12.0,7.0,1
514,2016,K,-12.826160174277895,41.836205747126435,-20.0,29.0,35.0,8.0,5.0,4.0,1
515,2013,KIM,13.322414362722068,46.02325581395349,19.329767441860536,5.0,74.0,29.0,27.0,74.4574898785425,3
516,2014,KIM,-20.922066974329113,25.56179775280899,0.23894723986321445,9.0,74.0,31.0,43.0,74.4574898785425,0
517,2015,KLAC,-10.226324716030993,30.997787831858414,-0.8704178823185843,87.0,57.0,24.0,13.0,238.0,1
518,2016,KLAC,-8.74550670120752,16.29646017699115,0.1629646017699115,102.0,61.0,32.0,24.0,249.0,1
519,2014,KMB,-13.826447457528207,26.662061465847664,-0.9852602846319868,209.0,34.0,13.0,8.0,13.0,1
520,2015,KMB,-8.942051653959078,43.83992805755396,-1.3831667224360045,582.0,36.0,9.0,5.0,10.0,1
521,2014,KMX,-36.72190781759996,26.0318175,1.6486817749999993,15.0,13.0,7.0,4.0,101.0,0
522,2015,KMX,6.531311387043049,21.898916967509024,0.8452213566406994,19.0,13.0,7.0,4.0,32.0,3
523,2016,KMX,-36.53176405957538,19.10423371335505,1.7639575795331166,21.0,13.0,7.0,4.0,38.0,0
524,2013,KO,0.9635084853504119,20.134021391752576,-6.711340463917519,26.0,61.0,22.0,18.0,73.0,2
525,2014,KO,-27.332322542048463,25.938270679012344,-1.5725076599151235,23.0,61.0,21.0,15.0,67.0,0
526,2015,KO,-4.212861685053363,25.31360857988166,5.8582922713440455,29.0,61.0,20.0,17.0,74.0,2
527,2014,KR,-23.728085552612313,8.854095563139932,1.6409590443685975,28.0,21.0,3.0,2.0,4.0,0
528,2015,KR,-13.041571920201223,10.622492908309455,0.5557840039526198,32.0,21.0,3.0,2.0,2.0,1
529,2016,KR,-21.441295675404028,18.13157918660287,-0.4519943668660286,30.0,22.0,3.0,2.0,2.0,0
530,2014,KSS,-10.939571178345442,14.424019240196078,-5.494240056038303,15.0,36.0,9.0,5.0,35.0,1
531,2015,KSS,10.940486183636109,12.76986004672897,2.6050514495327075,14.0,36.0,9.0,5.0,49.0,3
532,2016,KSS,-14.297800476143967,13.926724137931036,-0.7450797413793102,12.0,36.0,8.0,4.0,26.0,1
533,2014,KSU,2.389300608401902,26.99451787280702,0.6285584818558716,13.0,66.0,31.0,20.0,39.0,2
534,2015,KSU,17.83911853810432,22.193877551020407,-6.746938775510217,12.0,69.0,33.0,20.0,18.0,3
535,2014,LB,-12.294145024407086,23.759615705128205,1.1879807852564104,244.0,41.0,16.0,8.0,83.0,1
536,2016,LB,-1.3939214407951432,18.7046511627907,0.9147343102899016,484.0,43.0,18.0,10.0,136.0,2
