Period Ending,Ticker Symbol,After Tax ROE,Gross Margin,Operating Margin,Profit Margin,Cash Ratio
2012-12-31,BLL,36.0,18.0,9.0,5.0,10.0
2013-12-31,BLL,33.0,19.0,9.0,5.0,22.0
2014-12-31,BLL,45.0,19.0,10.0,5.0,10.0
2015-12-31,BLL,22.0,19.0,8.0,4.0,10.0
2012-12-31,BMY,14.0,74.0,13.0,11.0,34.0
2013-12-31,BMY,17.0,72.0,19.0,16.0,36.0
2014-12-31,BMY,13.0,75.0,16.0,13.0,88.0
2015-12-31,BMY,11.0,76.0,11.0,9.0,53.0
2012-12-31,BSX,59.0,68.0,53.0,56.0,12.0
2013-12-31,BSX,2.0,70.0,2.0,2.0,12.0
2014-12-31,BSX,2.0,70.0,4.0,2.0,21.0
2015-12-31,BSX,4.0,71.0,4.0,3.0,13.0
2013-12-31,BWA,18.0,21.0,11.0,8.0,58.0
2014-12-31,BWA,18.0,21.0,12.0,8.0,37.0
2015-12-31,BWA,17.0,21.0,12.0,8.0,25.0
2016-12-31,BWA,4.0,21.0,2.0,1.0,21.0
2012-12-31,BXP,6.0,64.0,35.0,16.0,74.4574898785425
2013-12-31,BXP,13.0,64.0,32.0,35.0,74.4574898785425
2014-12-31,BXP,8.0,64.0,33.0,19.0,74.4574898785425
2015-12-31,BXP,10.0,64.0,34.0,23.0,74.4574898785425
2012-12-31,C,4.0,100.0,8.0,13.0,74.4574898785425
2013-12-31,C,7.0,100.0,28.0,20.0,74.4574898785425
2014-12-31,C,3.0,100.0,20.0,11.0,74.4574898785425
2015-12-31,C,8.0,100.0,35.0,25.0,74.4574898785425
2013-05-26,CAG,15.0,25.0,10.0,6.0,5.0
2014-05-25,CAG,6.0,25.0,10.0,3.0,5.0
2015-05-31,CAG,6.0,24.0,11.0,2.0,5.0
2016-05-29,CAG,18.0,27.0,8.0,6.0,33.0
2013-06-30,CAH,6.0,5.0,1.0,0.0,13.0
2014-06-30,CAH,18.0,6.0,2.0,1.0,19.0
2015-06-30,CAH,19.0,6.0,2.0,1.0,27.0
2016-06-30,CAH,22.0,5.0,2.0,1.0,12.0
2013-12-31,CAT,18.0,26.0,10.0,7.0,22.0
2014-12-31,CAT,15.0,25.0,6.0,4.0,26.0
2015-12-31,CAT,17.0,27.0,8.0,5.0,25.0
2016-12-31,CAT,1.0,25.0,1.0,0.0,27.0
2012-12-31,CB,10.0,30.0,17.0,15.0,74.4574898785425
2013-12-31,CB,13.0,35.0,22.0,20.0,74.4574898785425
2014-12-31,CB,10.0,31.0,18.0,15.0,74.4574898785425
2015-12-31,CB,10.0,32.0,17.0,15.0,74.4574898785425
2012-12-31,CBG,21.0,12.0,9.0,5.0,43.0
2013-12-31,CBG,17.0,12.0,9.0,4.0,23.0
2014-12-31,CBG,21.0,11.0,9.0,5.0,26.0
2015-12-31,CBG,20.0,10.0,8.0,5.0,12.0
2012-12-31,CCI,6.0,70.0,34.0,8.0,82.0
2013-12-31,CCI,1.0,65.0,31.0,3.0,54.0
2014-12-31,CCI,6.0,63.0,27.0,11.0,32.0
2015-12-31,CCI,21.0,64.0,26.0,42.0,36.0
2013-11-30,CCL,4.0,31.0,9.0,7.0,7.0
2014-11-30,CCL,5.0,34.0,11.0,8.0,5.0
2015-11-30,CCL,7.0,40.0,16.0,11.0,20.0
2016-11-30,CCL,12.0,43.0,19.0,17.0,9.0
2013-12-31,CELG,26.0,95.0,28.0,22.0,292.0
2016-12-31,CELG,30.0,96.0,28.0,18.0,269.0
2013-12-28,CERN,13.0,82.0,20.0,14.0,137.0
2015-01-03,CERN,15.0,82.0,22.0,15.0,224.0
2016-01-02,CERN,14.0,83.0,18.0,12.0,66.0
2016-12-31,CERN,16.0,84.0,19.0,13.0,42.0
2012-12-31,CF,32.0,51.0,48.0,31.0,239.0
2013-12-31,CF,30.0,46.0,44.0,28.0,225.0
2014-12-31,CF,52.0,37.0,50.0,46.0,213.0
2015-12-31,CF,16.0,36.0,28.0,15.0,25.0
2012-12-31,CFG,3.0,0.0,0.0,12.0,74.4574898785425
2014-12-31,CFG,4.0,0.0,0.0,16.0,74.4574898785425
2015-12-31,CFG,4.0,0.0,0.0,16.0,74.4574898785425
2012-12-31,CHD,17.0,44.0,19.0,12.0,47.0
2013-12-31,CHD,17.0,45.0,19.0,12.0,76.0
2014-12-31,CHD,20.0,44.0,19.0,13.0,47.0
