year,symbol,PE
2014-01-01,D,31.773334222222225
2014-01-01,DAL,48.632912658227845
2014-01-01,DD,16.735787803379747
2014-01-01,DE,10.371412055109069
2014-01-01,DFS,12.4480649694501
2014-01-01,DG,20.755520504731862
2014-01-01,DGX,15.909921540469973
2014-01-01,DHI,14.9171974522293
2014-01-01,DHR,16.722332745945945
2014-01-01,DIS,19.857308352668216
2014-01-01,DISCA,107.16587357539473
2014-01-01,DLR,58.385000000000005
2014-01-01,DLTR,23.169708941605837
2014-01-01,DNB,15.19354875930521
2014-01-01,DOV,16.528621656182796
2014-01-01,DPS,16.94429025069638
2014-01-01,DRI,25.98623830275229
2014-01-01,DUK,28.951127255639094
2014-01-01,DVA,20.46187727272727
2014-01-01,DVN,15.530534351145036
2014-01-01,EA,1173.3333333333335
2014-01-01,EBAY,589.38341750875
2014-01-01,ECL,26.072319077306734
2014-01-01,ED,16.384719034852548
2014-01-01,EFX,24.83663283828383
2014-01-01,EIX,11.449495151515151
2014-01-01,EL,24.411858012820513
2014-01-01,EMN,15.597415109343933
2014-01-01,EMR,21.714754590163935
2014-01-01,EOG,16.348414598880595
2014-01-01,EQIX,-41.051412399193545
2014-01-01,EQR,35.941821716589864
2014-01-01,EQT,32.35098000000001
2014-01-01,ES,18.766409073359075
2014-01-01,ETFC,21.544117156862743
2014-01-01,ETN,19.161375793650794
2014-01-01,ETR,14.657442748091604
2014-01-01,EW,6.4097769685039365
2014-01-01,EXPD,23.234375260416666
2014-01-01,EXPE,25.160195145631068
2014-01-01,EXR,33.14935
2014-01-01,F,19.09259259259259
2014-01-01,FAST,28.70359251497006
2014-01-01,FCX,-24.30158650793651
2014-01-01,FDX,23.35777060117302
2014-01-01,FFIV,27.06416501210654
2014-01-01,FIS,24.539916386554623
2014-01-01,FISV,21.65016518151815
2014-01-01,FL,16.93771660899654
2014-01-01,FLIR,22.165492605633805
2014-01-01,FLR,21.77314814814815
2014-01-01,FLS,18.28364063324538
2014-01-01,FMC,28.886956086956523
2014-01-01,FRT,49.21487685950414
2014-01-01,FSLR,12.443324811083123
2014-01-01,FTR,43.65384615384616
2014-01-01,GD,15.479497023809524
2014-01-01,GILD,10.767924465408804
2014-01-01,GIS,17.89482706896552
2014-01-01,GLW,11.274724999999998
2014-01-01,GPC,20.563577693965517
2014-01-01,GPN,10.752940955882355
2014-01-01,GPS,14.584532374100721
2014-01-01,GRMN,26.235449206349205
2014-01-01,GT,2.8641839539978093
2014-01-01,GWW,22.12855854184642
2014-01-01,HAL,10.859564285714287
2014-01-01,HAS,16.976851543209875
2014-01-01,HBAN,13.917808219178083
2014-01-01,HCN,44.63698767123289
2014-01-01,HCP,18.402977371791046
2014-01-01,HD,24.71693134920635
2014-01-01,HES,10.277850327653997
2014-01-01,HIG,21.676794751381216
2014-01-01,HOG,17.38333384615385
2014-01-01,HOLX,409.75000000000006
2014-01-01,HON,17.771296296296295
2014-01-01,HP,11.4999998470948
2014-01-01,HPQ,5.858480926428571
2014-01-01,HRB,18.13583757225434
2014-01-01,HRL,10.773026315789474
2014-01-01,HRS,14.243
2014-01-01,HSIC,22.762206781193488
2014-01-01,HST,64.1029411764706
2014-01-01,HUM,16.704973118279568
2014-01-01,IBM,14.520468295739347
2014-01-01,IDXX,17.630165151515154
2014-01-01,IFF,18.559921611001965
2014-01-01,ILMN,56.88697394636015
2014-01-01,INTC,13.056485774058576
2014-01-01,INTU,26.617924685534593
2014-01-01,IP,39.38433698530769
2014-01-01,IPG,16.85087719298246
2014-01-01,IRM,20.26548836209581
2014-01-01,ISRG,40.168723215859025
2014-01-01,ITW,12.31105068212824
2014-01-01,IVZ,16.821585682819386
2014-01-01,JBHT,25.335937656249996
2014-01-01,JEC,21.69721075697211
2014-01-01,JNPR,-31.00000068493151
2014-01-01,JPM,11.386704119850188
2014-01-01,JWN,18.661803580901857
2014-01-01,KIM,25.56179775280899
2014-01-01,KLAC,19.31766396011396
2014-01-01,KMB,26.662061465847664
2014-01-01,KMX,26.0318175
2014-01-01,KO,25.938270679012344
2014-01-01,KR,8.854095563139932
2014-01-01,KSS,14.424019240196078
2014-01-01,KSU,26.99451787280702
2014-01-01,LB,23.759615705128205
2014-01-01,LEG,53.434782608695656
2014-01-01,LEN,13.387820673076922
2014-01-01,LLL,15.068765681233932
2014-01-01,LLTC,23.99214607329843
2014-01-01,LLY,27.10986614349776
2014-01-01,LMT,14.985101095530236
2014-01-01,LNT,8.64378598265896
2014-01-01,LOW,27.63784976635514
2014-01-01,LRCX,17.500000260416666
2014-01-01,LUK,47.34259351851851
2014-01-01,LUV,18.590909090909093
2014-01-01,LVLT,33.61382235772357
2014-01-01,M,15.104325826972008
2014-01-01,MA,27.479260016077173
2014-01-01,MAA,34.766497461928935
2014-01-01,MAC,6.862332791586997
2014-01-01,MAR,24.557691730769225
2014-01-01,MAS,8.798330404208334
2014-01-01,MAT,26.815068493150683
2014-01-01,MCD,19.645360618556705
2014-01-01,MCHP,22.62814095477387
2014-01-01,MCK,33.700544918330316
2014-01-01,MCO,18.66204722814499
2014-01-01,MDLZ,27.930231782945732
2014-01-01,MET,9.920620346715326
2014-01-01,MHK,20.849314657534247
2014-01-01,MJN,25.983098028169014
2014-01-01,MKC,21.479229228486645
2014-01-01,MLM,38.6611728937729
2014-01-01,MMC,19.72676524163569
2014-01-01,MMM,19.92463977719528
2014-01-01,MO,17.22265625
2014-01-01,MON,22.473484848484848
2014-01-01,MOS,17.36245353159851
2014-01-01,MRK,13.003640898058253
