year,symbol,change in 12 months
2011,HCN,-10.521486092771363
2011,HCP,-26.817199372312047
2011,HD,-25.37825800127026
2011,HES,35.24302094303599
2011,HIG,48.37530365705823
2011,HOG,-17.216050029586132
2011,HOLX,12.02461359863454
2011,HON,3.466082917550216
2011,HP,-20.199934149194505
2011,HPQ,-18.487329772063315
2011,HRB,-32.54689917726836
2011,HRL,-8.557794593921187
2011,HRS,48.084565400824275
2011,HSIC,-25.89683539412103
2011,HST,6.814969579819803
2011,HSY,-32.9974832455752
2011,HUM,-24.159769190701702
2011,IBM,-30.13971793251434
2011,IDXX,-28.994818292970187
2011,IFF,-6.120352995837048
2011,ILMN,-7.112563245364444
2011,INTC,-34.386597686980586
2011,INTU,-13.523022837905936
2011,IP,13.235097489375521
2011,IPG,11.065047284687763
2011,IRM,-18.327849606341204
